ФИО,Группа,Дисциплина,02.09.2024,05.09.2024,09.09.2024,12.09.2024,16.09.2024,19.09.2024,23.09.2024,26.09.2024,30.09.2024,03.10.2024,07.10.2024,10.10.2024,14.10.2024,17.10.2024,21.10.2024,24.10.2024,28.10.2024,31.10.2024,04.11.2024,07.11.2024,11.11.2024,14.11.2024,18.11.2024,21.11.2024,25.11.2024,28.11.2024,02.12.2024,05.12.2024,09.12.2024,12.12.2024,16.12.2024,19.12.2024
Антонов Максим Владимирович,ИТ-22,Английский язык,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Белова Виктория Сергеевна,ИТ-22,Английский язык,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
Волков Андрей Александрович,ИТ-22,Английский язык,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
Гусева Наталья Михайловна,ИТ-22,Английский язык,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Денисов Роман Игоревич,ИТ-22,Английский язык,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ефимова Екатерина Андреевна,ИТ-22,Английский язык,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Захаров Владислав Дмитриевич,ИТ-22,Английский язык,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0
Ильина Анастасия Николаевна,ИТ-22,Английский язык,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Кузнецов Артем Викторович,ИТ-22,Английский язык,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
Лебедева Дарья Алексеевна,ИТ-22,Английский язык,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
