ФИО,Группа,Дисциплина,02.09.2024,05.09.2024,09.09.2024,12.09.2024,16.09.2024,19.09.2024,23.09.2024,26.09.2024,30.09.2024,03.10.2024,07.10.2024,10.10.2024,14.10.2024,17.10.2024,21.10.2024,24.10.2024,28.10.2024,31.10.2024,04.11.2024,07.11.2024,11.11.2024,14.11.2024,18.11.2024,21.11.2024,25.11.2024,28.11.2024,02.12.2024,05.12.2024,09.12.2024,12.12.2024,16.12.2024,19.12.2024
Абрамов Никита Сергеевич,ЭК-22,Высшая математика,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0
Богданова Карина Владимировна,ЭК-22,Высшая математика,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
Власов Тимур Александрович,ЭК-22,Высшая математика,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Голубева Алёна Игоревна,ЭК-22,Высшая математика,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0
Дорофеев Егор Николаевич,ЭК-22,Высшая математика,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
Жданова Полина Андреевна,ЭК-22,Высшая математика,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Исаков Илья Михайлович,ЭК-22,Высшая математика,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
Калинина Валерия Викторовна,ЭК-22,Высшая математика,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
Лазарев Кирилл Дмитриевич,ЭК-22,Высшая математика,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1
Медведева София Петровна,ЭК-22,Высшая математика,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0
